Date and Time of initial call,Date and time of Ranger response,borough,property,location,batch_geocode_descrip,Latitude,Longitude,loc_acc,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311SR_Number,final_ranger_action,number_animals,PEP_Response,Animal_Monitored,Rehabilitator,Hours_spent_monitoring,Police_Response,ESU_Response,ACC_Intake_Number,
01/07/2019 12:20:00 PM,01/07/2019 12:21:00 PM,Queens,Bowne Park,Around Bowne Pond,"Bowne, East Amwell, NJ, USA",40.41983,-74.91267,doubt,Red-Eared Slider,Central,Invasive,N/A,0.5,Adult,Terrestrial Reptile or Amphibian,,Unfounded,3,false,false,,,false,false,,
06/09/2019 12:50:00 PM,06/09/2019 12:55:00 PM,Staten Island,Silver Lake Park,Bridge,"Old Bridge, NJ, USA",40.392992,-74.324024,doubt,Red-Eared Slider,Employee,Invasive,Injured,2,Adult,Terrestrial Reptile or Amphibian,1-1-1724490913,ACC,2,true,false,,,false,false,65379 65380,
09/30/2018 08:55:00 AM,09/30/2018 08:55:00 AM,Staten Island,Dongan Playground,Playground,"Haire Playground, East Orange, NJ, USA",40.753677,-74.208878,doubt,Opossum,Central,Native,Injured,1,Adult,Small Mammals-non RVS,,Unfounded,1,false,false,,,false,false,,
10/09/2018 01:15:00 PM,10/09/2018 01:30:00 PM,Queens,Flushing Meadows Corona Park,Parks Academy,"Gordon Parks Academy Elementary School, East Orange, NJ, USA",40.760326,-74.200174,doubt,Downy Woodpecker,Central,Native,Injured,3.25,Juvenile,Birds,1-1-1625631511,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,,
03/22/2019 11:55:00 AM,03/22/2019 12:05:00 PM,Brooklyn,Owl's Head Park,Men's Bathroom,"Mens Bathroom and Changing Room, Mahwah, NJ, USA",41.059184,-74.173042,doubt,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,1-1-1696746580,Relocated/Condition Corrected,1,false,true,,0.5,false,false,,
09/02/2018 09:00:00 AM,09/02/2018 09:25:00 AM,Manhattan,Central Park,96th st. and West Drive,"96 Belmar Drive West, Staten Island, New York, NY, USA",40.579534,-74.156793,doubt,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,1-1-1612025711,Monitored Animal,1,false,true,,0.5,false,false,,
10/26/2018 04:50:00 PM,10/26/2018 05:16:00 PM,Staten Island,Willowbrook Park,Victory Blvd and Morani Street,"Willowbrook, Staten Island, New York, NY, USA",40.598737,-74.138503,doubt,Deer,Employee,Native,Injured,3,Adult,Deer,1-1-1636205992,ACC,1,false,true,,3,true,true,,
03/11/2019 12:00:00 PM,03/11/2019 01:56:00 PM,Staten Island,Historic Richmond Town,Creek behind Tavern,"Richmondtown, Staten Island, New York, NY, USA",40.569397,-74.131493,doubt,Canada Goose,Other,Native,N/A,0.25,Adult,Birds,,Unfounded,1,false,false,,0.25,false,false,,
02/27/2019 02:30:00 PM,02/27/2019 03:35:00 PM,Staten Island,Historic Richmond Town,Creek behind Tavern off of Richmond Rd,"Richmondtown, Staten Island, New York, NY, USA",40.569397,-74.131493,doubt,Canada Goose,Other,Native,N/A,0.25,Adult,Birds,1-1-1688515762,Unfounded,1,false,false,,,false,false,,
02/25/2019 01:19:00 PM,02/26/2019 10:56:00 AM,Staten Island,Historic Richmond town,In creek behind Richmond Tavern,"Richmondtown, Staten Island, New York, NY, USA",40.569397,-74.131493,doubt,Canada Goose,Public,Native,N/A,0.25,Adult,Birds,,Monitored Animal,1,false,true,,0.25,false,false,,
10/19/2018 12:00:00 PM,10/19/2018 12:15:00 PM,Queens,Playground Eighty LXXX,Within playground according to public,"Public School 45 Playgrounds, Staten Island, New York, NY, USA",40.628131,-74.107577,doubt,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,,
01/12/2019 04:25:00 PM,01/13/2019 11:20:00 AM,Staten Island,Midland Playground,Between Midland Avenue and Lincoln Avenue,"Midland Avenue & Colony Avenue, Staten Island, New York, NY, USA",40.572077,-74.092467,doubt,Deer,Central,Native,Injured,0.5,Adult,Deer,,Unfounded,1,false,false,,,false,false,,
08/19/2018 04:30:00 PM,08/19/2018 04:30:00 PM,Staten Island,Midland Beach,Midland Beach off of Father Capodanno blvd between Midland and Hunter,"Midland Beach, Staten Island, New York, NY, USA",40.574147,-74.091867,doubt,Black Backed Gull,Employee,Native,Unhealthy,1.5,Adult,Birds,1-1-1606326980,ACC,1,true,false,,,false,false,38713,
08/03/2018 11:45:00 AM,08/03/2018 11:56:00 AM,Staten Island,Midland Beach,Beach off of Seaver Avenue,"Midland Beach, Staten Island, New York, NY, USA",40.574147,-74.091867,doubt,Herring Gull,Employee,Native,Unhealthy,1.5,Juvenile,Birds,1-1-1598979882,ACC,1,false,false,,,false,false,36935,
08/02/2018 04:08:00 PM,08/02/2018 04:29:00 PM,Staten Island,Midland Beach,"Responded at Midland Ave and Father Capadonno Blvd boardwalk entrance, near picnic area.","Midland Beach, Staten Island, New York, NY, USA",40.574147,-74.091867,doubt,Herring Gull,Employee,Native,Unhealthy,0.25,Juvenile,Birds,1-1-1599033774,ACC,1,true,false,,,false,false,36851,
09/03/2018 04:40:00 PM,09/03/2018 04:49:00 PM,Staten Island,South Beach,Ocean Ave and Drury Ave on the beach near Lot 1.,"South Beach, Staten Island, New York, NY, USA",40.588932,-74.087157,doubt,2 Black Back Gulls And 1 Pigeon,Employee,Native,Unhealthy,3,Adult,Birds,1-1-1610326695,Relocated/Condition Corrected,3,true,false,,,false,false,,
08/10/2018 01:30:00 PM,08/10/2018 01:35:00 PM,Staten Island,South Beach,On beach near Atlantic Ave.,"South Beach, Staten Island, New York, NY, USA",40.588932,-74.087157,doubt,Gull,Employee,Native,Unhealthy,0.25,Juvenile,Birds,1-1-1601746282,ACC,1,false,false,,,false,false,,
12/07/2018 08:30:00 AM,12/07/2018 09:00:00 AM,Brooklyn,Fort Hamilton Recreation Center,"92nd and Ft. Hamilton Parkway, found by PD, taken to 68th precinct.","92 Ft Hill Cir, Staten Island, New York, NY, USA",40.642497,-74.081503,doubt,Cooper's Hawk,Central,Native,Injured,2,Juvenile,Raptors,1-1-1653352161,Rehabilitator,1,false,false,Bobby Horvath,,true,false,,
11/25/2018 10:30:00 AM,11/25/2018 10:50:00 AM,Brooklyn,Prospect Park,Park entrance at Bartel-Pritchard Square,"Battery Park City, Manhattan, New York, NY, USA",40.712859,-74.015987,doubt,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,2,false,false,,
10/17/2018 02:00:00 PM,10/17/2018 02:30:00 PM,Brooklyn,Prospect Park,Litchfield Villa parking lot,"Battery Park City, Manhattan, New York, NY, USA",40.712859,-74.015987,doubt,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1631115392,ACC,1,false,false,,,false,false,44793,
08/28/2018 10:15:00 AM,08/28/2018 10:25:00 AM,Manhattan,Central Park,CP Zoo- 64th & 5th ave - inside a trash can,"Battery Park City, Manhattan, New York, NY, USA",40.712859,-74.015987,doubt,Raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1607744950,ACC,1,false,false,,,false,false,39704,
08/16/2018 08:00:00 AM,08/16/2018 08:30:00 AM,Manhattan,Central Park,Central Park Childrens Zoo entrance near Delecorte Clock/Arch. Cross Street 5th Ave and East 66th,"Battery Park City, Manhattan, New York, NY, USA",40.712859,-74.015987,doubt,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184832,ACC,1,false,false,,,false,false,38336,
01/29/2019 09:30:00 AM,01/29/2019 09:50:00 AM,Brooklyn,Dyker Beach Park,"Dyker Beach Playground, Cropsey Avenue between Bay 7th St and Bay 8th St","Dyker Heights Playground, Brooklyn, New York, NY, USA",40.618889,-74.013889,doubt,Skunk,Central,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
11/18/2018 10:45:00 AM,11/18/2018 11:10:00 AM,Bronx,Taylor Playground,Inside of Playground,"Playground of the Americas, Manhattan, New York, NY, USA",40.727964,-74.002718,doubt,Red-Eared Slider,Employee,Exotic,Unhealthy,1.5,Adult,Marine Reptiles,1-1-1644145380,ACC,1,false,false,,,false,false,47542,
10/09/2018 03:00:00 PM,10/10/2018 01:30:00 PM,Staten Island,Ocean Breeze Track & Field Athletic Complex,Behind building,"Bigelow Building, Manhattan, New York, NY, USA",40.733845,-73.999002,doubt,Nashville Warbler,Employee,Native,Injured,1.5,Adult,Birds,1-1-1626701370,ACC,1,true,false,,,false,false,44106,
08/18/2018 02:00:00 PM,08/18/2018 02:15:00 PM,Bronx,Pelham Bay Park,By dog run,"Dog Run, Manhattan, New York, NY, USA",40.730699,-73.998423,doubt,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605107150,ACC,1,false,false,,,false,false,46837,
01/25/2019 12:30:00 PM,01/25/2019 12:45:00 PM,Staten Island,Clove Lakes Park,Brooks' Pond,"Brooks Pond, Stony Point, NY, USA",41.330356,-73.99434,doubt,Canada Goose,Public,Native,Injured,1.5,Adult,Birds,1-1-1668424932,ACC,1,false,false,,,false,false,53407,
11/30/2018 03:00:00 PM,11/30/2018 03:00:00 PM,Manhattan,private property,Lower Manhattan,"Downtown, Manhattan, New York, NY, USA",40.723114,-73.994097,doubt,Woodcock,Public,Native,N/A,0.25,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,,
06/06/2019 03:30:00 PM,06/06/2019 03:35:00 PM,Manhattan,Robert Bendheim Playground,outside of playground in the brush close to pedestrain path,"The Townhouse Inn of Chelsea, Manhattan, New York, NY, USA",40.743519,-73.993848,doubt,Red-Eared Slider,Employee,Invasive,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,1-1-1731110520,Relocated/Condition Corrected,1,false,false,,,false,false,,
07/14/2018 09:15:00 AM,07/14/2018 09:30:00 AM,Manhattan,Central Park,in the bushes just outside of the fence to the 110thst Playground,"The Townhouse Inn of Chelsea, Manhattan, New York, NY, USA",40.743519,-73.993848,doubt,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
08/31/2018 09:00:00 AM,08/31/2018 09:30:00 AM,Manhattan,Central Park,W 77st by Ladies' Pavillion,"Pavillion, Manhattan, New York, NY, USA",40.736444,-73.989928,doubt,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1610274490,ACC,1,false,false,,,false,false,40061,
11/30/2018 08:30:00 AM,11/30/2018 11:15:00 AM,Staten Island,Ocean Breeze Track & Field Athletic Complex,Under the horse stables,"The Headless Horseman, Manhattan, New York, NY, USA",40.734884,-73.988544,doubt,Opossum,Employee,Native,Healthy,0.5,Adult,Small Mammals-non RVS,1-1-1651532054,Relocated/Condition Corrected,1,false,false,,,false,false,,
07/31/2018 02:00:00 PM,07/31/2018 03:30:00 PM,Manhattan,Thomas Jefferson Recreation Center,In Lobby of Rec. Center,"International Center of Photography, Manhattan, New York, NY, USA",40.755739,-73.983725,doubt,Squirrel,Employee,Native,Healthy,0.5,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
08/24/2018 03:15:00 PM,08/24/2018 03:25:00 PM,Manhattan,Theodore Roosevelt Park,E85th and Columbus,"Jazz and Columbus Circle, Manhattan, New York, NY, USA",40.765653,-73.983605,doubt,Raccoon,Central,Native,N/A,1,Adult,Small Mammals-RVS,N/A,Monitored Animal,1,false,false,,,false,false,,
03/15/2019 03:00:00 PM,03/15/2019 04:00:00 PM,Manhattan,Central Park,West 77th CPW,"314 W 77 St, Manhattan, New York, NY, USA",40.783258,-73.982932,doubt,Squirrel,Central,Native,N/A,1,Adult,Small Mammals-non RVS,1-1-1695193592,Unfounded,1,false,false,,,false,false,,
04/23/2019 02:45:00 PM,04/23/2019 03:00:00 PM,Manhattan,Central Park,on Glade arch by the  Maple tree,"TOP OF THE ONE, Manhattan, New York, NY, USA",40.7709,-73.980736,doubt,Squirrel,Public,Native,Injured,1.75,Juvenile,Small Mammals-non RVS,1-1-1709390570,Relocated/Condition Corrected,1,false,false,,,false,false,,
12/07/2018 03:30:00 PM,12/07/2018 03:30:00 PM,Staten Island,Conference House Park,On side of walking trail,"TOP OF THE ONE, Manhattan, New York, NY, USA",40.7709,-73.980736,doubt,Squirrel,Observed by Ranger,Native,Unhealthy,0.25,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
07/12/2018 04:37:00 PM,07/12/2018 05:15:00 PM,Manhattan,Central Park,base of stairs to the Arsenal,"TOP OF THE ONE, Manhattan, New York, NY, USA",40.7709,-73.980736,doubt,Pigeon,Employee,Native,Unhealthy,1.5,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,,
07/18/2018 11:15:00 AM,07/18/2018 11:20:00 AM,Manhattan,Central Park,Hecksher Ballfields - field #6 - west of Ballfields Cafe - between path and transverse,"Hecksher Playground, Manhattan, New York, NY, USA",40.768671,-73.977569,doubt,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
08/28/2018 10:55:00 AM,08/28/2018 11:23:00 AM,Manhattan,Central Park,67th & 5th ave - Balto statue,"67 5 Ave, Brooklyn, New York, NY, USA",40.680623,-73.977454,doubt,Raccoon,Employee,Native,N/A,1.25,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
07/07/2018 09:15:00 AM,07/07/2018 09:36:00 AM,Manhattan,Central Park,Strawberry Fields by the Drive,"Strawberry Fields, Manhattan, New York, NY, USA",40.775048,-73.975305,doubt,,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-11-584114940,ACC,1,false,false,,,false,false,40666,
08/24/2018 07:20:00 AM,08/24/2018 08:40:00 AM,Manhattan,Central Park,On lawn across from Bow Bridge and,"Bow Bridge, Manhattan, New York, NY, USA",40.775732,-73.971752,doubt,Raccoon,"Conservancies/""Friends of"" Groups",Domestic,Unhealthy,1.5,Adult,Small Mammals-RVS,N/A,Monitored Animal,1,false,true,,1.75,false,false,,
09/01/2018 07:45:00 AM,09/01/2018 09:40:00 AM,Manhattan,Central Park,"W93rd street, Wild West Playground","South Street, Brooklyn, New York, NY, USA",40.698038,-73.971486,doubt,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Juvenile,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
11/03/2018 01:30:00 PM,11/03/2018 01:40:00 PM,Brooklyn,Prospect Park,Grand Army Plaza,"Grand Army Plaza, Brooklyn, New York, NY, USA",40.674922,-73.970816,doubt,Raccoon,Central,Native,N/A,0.1,Adult,Small Mammals-RVS,1-1-1636032520,Unfounded,1,false,false,,,false,false,,
10/05/2018 12:00:00 AM,10/16/2018 10:00:00 AM,Brooklyn,Prospect Park,Grand Army Plaza,"Grand Army Plaza, Brooklyn, New York, NY, USA",40.674922,-73.970816,doubt,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,n/a,Unfounded,1,false,false,,,false,false,,
10/04/2018 09:05:00 AM,10/04/2018 09:28:00 AM,Brooklyn,Prospect Park,Grand Army Plaza,"Grand Army Plaza, Brooklyn, New York, NY, USA",40.674922,-73.970816,doubt,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,1-11-625702051,Advised/Educated others,1,false,false,,,false,false,,
06/12/2019 09:20:00 AM,06/12/2019 09:20:00 AM,Manhattan,Washingtom Square Park,on Sidewalk accross from the park near 10 Washington Place,"New York, NY, USA",40.68295,-73.9708,doubt,Red-Tailed Hawk,Other,Native,N/A,0.5,Juvenile,Raptors,,Advised/Educated others,1,false,false,,,false,false,,
06/10/2019 01:00:00 PM,06/10/2019 01:30:00 PM,Brooklyn,Irving Square Park,Northwest corner of the park,"New York, NY, USA",40.68295,-73.9708,doubt,Parrot,Public,Exotic,N/A,1.5,Adult,Domestic,,Unfounded,1,false,false,,,false,false,,
06/09/2019 09:30:00 AM,06/09/2019 10:00:00 AM,Brooklyn,Parade Ground,Prospect Park Parade Grounds near Tennis Center,"New York, NY, USA",40.68295,-73.9708,doubt,Chicken,Central,Domestic,Healthy,3,Adult,Domestic,1-1-1730643971,ACC,1,false,false,,,false,false,65352,
06/08/2019 08:44:00 AM,06/08/2019 09:20:00 AM,Manhattan,Tompkins Square Park,Under the nest near Avenue B and East 9th Street,"New York, NY, USA",40.68295,-73.9708,doubt,Red-Tailed Hawk,Public,Native,,1.5,Juvenile,Raptors,1-1-1727159802,Rehabilitator,1,false,false,Animal Medical Center,,false,false,,
06/06/2019 10:00:00 AM,06/07/2019 12:00:00 PM,Manhattan,Tompkins Square Park,Hawk Nest (Near Avenue B and East 9th Entrance on Ginko Tree),"New York, NY, USA",40.68295,-73.9708,doubt,Red-Tailed Hawk,Public,Native,Unhealthy,2,Juvenile,Raptors,,Monitored Animal,1,false,true,,1,false,false,,
06/07/2019 04:30:00 PM,06/07/2019 05:10:00 PM,Queens,Harvey Park,144th Street and 20th Avenue,"New York, NY, USA",40.68295,-73.9708,doubt,Raccoon,Central,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,,
06/05/2019 02:15:00 PM,06/05/2019 03:14:00 PM,Queens,Rockaway Beach and Boardwalk,Rockaway Beach 97th St. PEP Command,"New York, NY, USA",40.68295,-73.9708,doubt,Dove,Employee,Native,Injured,3,Adult,Birds,1-1-1727634700,ACC,1,false,false,,,false,false,65025,
06/01/2019 03:00:00 PM,06/01/2019 02:30:00 PM,Bronx,Orchard Beach,Orchard Beach Parking Lot,"New York, NY, USA",40.68295,-73.9708,doubt,Gull,Public,Native,Injured,2,Adult,Birds,1-1-173378903,Rehabilitator,1,false,false,Wildbird Fund,,false,false,,
05/31/2019 08:00:00 AM,05/31/2019 08:30:00 AM,Manhattan,Tompkins Square Park,Hawk Nest Near Avenue B and East 10th entrance to park,"New York, NY, USA",40.68295,-73.9708,doubt,Red-Tailed Hawk,Public,Native,N/A,0.5,Infant,Raptors,,Advised/Educated others,1,false,false,,,false,false,,
05/26/2019 11:00:00 AM,05/26/2019 12:00:00 PM,Brooklyn,Sunset Park,Near 5th Ave & 41st Street Entrance,"New York, NY, USA",40.68295,-73.9708,doubt,Opossum,Central,Native,Injured,2,Juvenile,Small Mammals-non RVS,1-1-1726194712,ACC,1,false,false,,,false,false,64014,
05/25/2019 11:00:00 AM,05/25/2019 02:00:00 PM,Brooklyn,Bushwick Inlet Park,Near water,"New York, NY, USA",40.68295,-73.9708,doubt,Canada Goose,Public,Native,Injured,3,Juvenile,Birds,,Unfounded,1,false,false,,,false,false,,
05/22/2019 02:50:00 PM,05/22/2019 03:34:00 PM,Queens,Kissena Park,Oak Ave and Underhill Ave across from the playground,"New York, NY, USA",40.68295,-73.9708,doubt,Snapping Turtle,Central,Native,Injured,1.5,Juvenile,Marine Reptiles,1-1-1724432609,Rehabilitator,1,false,false,Bobby Horvath,,false,false,,
05/20/2019 11:40:00 AM,05/20/2019 12:17:00 PM,Staten Island,Allison Pond Park,Pond,"New York, NY, USA",40.68295,-73.9708,doubt,Snapping Turtle,Central,Native,Healthy,0.5,Adult,Marine Reptiles,,Advised/Educated others,1,false,false,,,false,false,,
05/12/2019 11:00:00 AM,05/12/2019 11:30:00 AM,Queens,Cambria Playground,Francis Lewis Blvd and 120th Ave,"New York, NY, USA",40.68295,-73.9708,doubt,Guineafowl,Central,Native,Injured,2,Adult,Birds,1-1-1715195702,ACC,1,false,false,,,false,false,62613,
05/11/2019 03:30:00 PM,05/11/2019 03:45:00 PM,Manhattan,Stuyvesant Square,2nd ave and E15th street,"New York, NY, USA",40.68295,-73.9708,doubt,Chicken,Central,Domestic,N/A,0.5,Adult,Domestic,,Unfounded,1,false,false,,,false,false,,
05/11/2019 09:00:00 AM,05/11/2019 10:30:00 AM,Brooklyn,Maria Hernandez Park,Starr and Knickerbocker Ave,"New York, NY, USA",40.68295,-73.9708,doubt,Red-Tailed Hawk,Central,Native,Healthy,1,Adult,Raptors,,Monitored Animal,2,false,true,,1,false,false,,
05/09/2019 10:30:00 AM,05/09/2019 10:45:00 AM,Staten Island,Willowbrook Park,Next to pond,"New York, NY, USA",40.68295,-73.9708,doubt,Canada Goose,Employee,Native,Injured,0.75,Adult,Birds,,Monitored Animal,2,false,true,,0.75,false,false,,
05/02/2019 12:30:00 PM,05/02/2019 01:30:00 PM,Staten Island,Willowbrook Park,Near pond,"New York, NY, USA",40.68295,-73.9708,doubt,Canada Goose,Employee,Native,Injured,1.25,Adult,Birds,,Monitored Animal,2,false,true,,1.25,false,false,,
04/30/2019 02:00:00 PM,04/30/2019 02:00:00 PM,Staten Island,Clove Lakes Park,On bank near Martling Ave.,"New York, NY, USA",40.68295,-73.9708,doubt,Domestic Duck,Observed by Ranger,Domestic,Healthy,0.25,Infant,Domestic;#Birds,1-1-1709509701,ACC,3,false,false,,,false,false,79053,
04/29/2019 12:30:00 PM,04/29/2019 12:44:00 PM,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Fort Wadsworth side of beach but visible from South Beach,"New York, NY, USA",40.68295,-73.9708,doubt,Seal,Employee,Native,DOA,1,Juvenile,Marine Mammals-seals only,1-1-1709564922,Relocated/Condition Corrected,1,false,false,,,false,false,,
04/23/2019 03:00:00 PM,04/23/2019 03:45:00 PM,Manhattan,Fort Washington Park,170 Street next to the Greenway,"New York, NY, USA",40.68295,-73.9708,doubt,Skunk,Other,Native,DOA,1,Adult,Small Mammals-RVS,1-1-1711055621,ACC,1,false,false,,,false,false,60839,
04/23/2019 10:00:00 AM,04/23/2019 10:06:00 AM,Staten Island,Blue Heron Park,Intersection of green and red trail close to Spring Pond,"New York, NY, USA",40.68295,-73.9708,doubt,Skunk,Observed by Ranger,Native,Unhealthy,1.25,Infant,Small Mammals-RVS,1-1-1710353230,ACC,1,false,false,,,false,false,60772,
04/17/2019 11:30:00 AM,04/17/2019 11:45:00 AM,Queens,Kissena Park,Underhill Ave and 164th St,"New York, NY, USA",40.68295,-73.9708,doubt,Raccoon,Employee,Native,N/A,1.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
04/19/2019 01:00:00 PM,04/19/2019 01:05:00 PM,Queens,Kissena Park,Underhill Ave and 164th St,"New York, NY, USA",40.68295,-73.9708,doubt,Raccoon,Employee,Native,Injured,1.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
04/12/2019 05:00:00 PM,04/12/2019 05:45:00 PM,Manhattan,Inwood Hill Park,The wall near Seaman Ave entrance,"New York, NY, USA",40.68295,-73.9708,doubt,Skunk,Employee,Native,N/A,2,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
04/08/2019 01:15:00 PM,04/08/2019 01:17:00 PM,Queens,Rockaway Beach 48 Street,On the sand in the plover site,"New York, NY, USA",40.68295,-73.9708,doubt,Dog,Employee,Domestic,Healthy,2.25,Adult,Domestic,1-1-1-705059331,ACC,1,false,false,,,false,false,76392,
04/02/2019 11:00:00 AM,04/02/2019 11:20:00 AM,Manhattan,Central Park,Northwoods near 102nd St Cross Over,"New York, NY, USA",40.68295,-73.9708,doubt,Cooper's Hawk,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Juvenile,Raptors,n/a,Submitted for DEC Testing,1,false,false,,,false,false,,
03/30/2019 03:15:00 PM,03/30/2019 03:30:00 PM,Staten Island,Willowbrook Park,Near Pond,"New York, NY, USA",40.68295,-73.9708,doubt,Canada Goose,Central,Native,N/A,0.75,Adult,Birds,,Monitored Animal,1,false,true,,0.75,false,false,,
04/01/2019 11:30:00 AM,04/01/2019 03:00:00 PM,Staten Island,Willowbrook Park,Entrance from Eton Place,"New York, NY, USA",40.68295,-73.9708,doubt,Canada Goose,Public,Native,N/A,1,Adult,Birds,,Monitored Animal,2,false,false,,,false,false,,
03/28/2019 09:25:00 AM,03/28/2019 09:33:00 AM,Staten Island,Ocean Breeze Park,mason & Raritan Ave,"New York, NY, USA",40.68295,-73.9708,doubt,Turkey,Central,Native,Injured,1.25,Adult,Birds,,Unfounded,1,false,false,,,false,false,,
03/26/2019 08:30:00 AM,03/26/2019 09:08:00 AM,Staten Island,Hylan Boulevard and Ithaca Street,Bluebelt area on Hylan Boulevard and Ithaca Street,"New York, NY, USA",40.68295,-73.9708,doubt,Deer,Central,Domestic,DOA,0.5,Adult,Deer,,Relocated/Condition Corrected,1,false,false,,,false,false,,
03/19/2019 09:52:00 AM,03/19/2019 10:15:00 AM,Bronx,Green Street,167th street and Cromwell avenue,"New York, NY, USA",40.68295,-73.9708,doubt,Opossum,Central,Native,Injured,2,Adult,Small Mammals-non RVS,1-1-1692269890,ACC,1,false,false,,,false,false,57500,
03/18/2019 03:20:00 PM,03/18/2019 03:40:00 PM,Bronx,Orchard Beach,North/East Corner of Parking Lot,"New York, NY, USA",40.68295,-73.9708,doubt,Skunk,Employee,Native,N/A,1,Adult,Small Mammals-RVS,1-1-1680409930,Unfounded,6,false,false,,,false,false,,
03/13/2019 01:00:00 PM,03/13/2019 01:15:00 PM,Manhattan,Greeley Square Park,42West 33rd St,"New York, NY, USA",40.68295,-73.9708,doubt,Woodcock,Public,Native,Injured,3,Adult,Birds,,Rehabilitator,1,false,false,,,false,false,,
02/24/2019 12:00:00 PM,02/24/2019 12:00:00 PM,Queens,Highland Park,Vermont St and Bulwer Pl,"New York, NY, USA",40.68295,-73.9708,doubt,Raccoon,Central,Native,Healthy,1.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,,
02/22/2019 02:00:00 PM,02/22/2019 02:15:00 PM,Staten Island,Lemon Creek Park,"Bayside of park, near pier.","New York, NY, USA",40.68295,-73.9708,doubt,Seal,Central,Native,,0.5,Adult,Marine Mammals-seals only,,Unfounded,1,false,false,,,false,false,,
02/20/2019 04:00:00 PM,02/20/2019 04:00:00 PM,Manhattan,Inwood Hill Park,At the Rock Formations (AKA Indian Caves) in The Clove section of the park. The unhealthy raccoon was seen in the lowest of the cave crevices,"New York, NY, USA",40.68295,-73.9708,doubt,Raccoon,Observed by Ranger,Native,Unhealthy,2,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,1,false,false,,
02/05/2019 03:35:00 PM,02/05/2019 03:45:00 PM,Bronx,Crotona Park,173 St. & Fulton Ave. In front of Crotona Pool,"New York, NY, USA",40.68295,-73.9708,doubt,Red-Tailed Hawk,Central,Native,Injured,1.75,Adult,Raptors,1-1-1-674906570,Rehabilitator,1,false,false,Bobby Horvath,,false,false,,
01/30/2019 11:30:00 AM,01/30/2019 03:30:00 PM,Queens,Flushing Fields,"149th Street and 26th Ave, in the ball field","New York, NY, USA",40.68295,-73.9708,doubt,Opossum,Employee,Native,N/A,1.5,Adult,Small Mammals-non RVS,1-1-1676851197,Unfounded,1,false,false,,,false,false,,
01/25/2019 04:00:00 PM,01/25/2019 04:05:00 PM,Queens,Udall's Park Preserve,Trail entry at Depew Ave and Orient Ave,"New York, NY, USA",40.68295,-73.9708,doubt,Raccoon,Public,Native,Unhealthy,4.5,Adult,Small Mammals-RVS,1-1-1674668716,ACC,3,false,false,,,false,false,53427,
01/24/2019 10:00:00 AM,01/24/2019 10:12:00 AM,Queens,Queens Farm Park,Little Neck Parkway and 74th Avenue,"New York, NY, USA",40.68295,-73.9708,doubt,Red-Tailed Hawk,Central,Native,Injured,1,Adult,Raptors,1-1-1668777621,Rehabilitator,1,false,false,Bobby Horvath,,false,false,,
