Date and Time of initial call,Date and time of Ranger response,borough,property,location,batch_geocode_descrip,Latitude,Longitude,loc_acc,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311SR_Number,final_ranger_action,number_animals,PEP_Response,Animal_Monitored,Rehabilitator,Hours_spent_monitoring,Police_Response,ESU_Response,ACC_Intake_Number,
10/18/2018 08:30:00 AM,10/18/2018 09:00:00 AM,Brooklyn,Prospect Park,North Lullwater near Neathermeade,,40.660521,-73.967395,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1629461860,ACC,1,false,false,,,false,false,44837,
11/07/2018 10:45:00 AM,11/07/2018 11:00:00 AM,Brooklyn,Prospect Park,Grecian Shelter near Parkside Ave.,,40.653067,-73.967313,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1641417962,ACC,1,false,false,,,false,false,46682,
02/07/2019 03:00:00 PM,02/07/2019 03:12:00 PM,Manhattan,Central Park,W89 St. and CPW,,40.787389,-73.967194,latlng_provided,Squirrel,Other,Native,Injured,1,Adult,Small Mammals-RVS,1-1-1679680391,Rehabilitator,1,false,false,,,true,false,,
10/29/2018 11:00:00 AM,10/29/2018 12:00:00 PM,Brooklyn,Prospect Park,South Lullwater,,40.659482,-73.966999,latlng_provided,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1631200931,ACC,1,false,false,,,false,false,45902,
11/26/2018 08:45:00 AM,11/26/2018 09:30:00 AM,Brooklyn,Prospect Park,Peninsula,,40.6572488,-73.9665746,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-16475333360,ACC,1,false,false,,,false,false,48088,
03/20/2019 09:00:00 AM,03/20/2019 09:40:00 AM,Brooklyn,Prospect Park,Boathouse ,,40.661675,-73.965723,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1696307430,ACC,1,false,false,,,false,false,57642,
02/17/2019 09:30:00 AM,02/17/2019 10:00:00 AM,Brooklyn,Prospect Park,Lullwater at Prospect Park Audubon Center,,40.661455,-73.965718,latlng_provided,Canada Goose,Central,Native,Injured,1,Adult,Birds,,Monitored Animal,1,false,true,,0.5,false,false,,
10/18/2018 12:45:00 PM,10/18/2018 01:15:00 PM,Brooklyn,Prospect Park,By Center Drive and East Drive,,40.663591,-73.965373,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1629461862,ACC,1,false,false,,,false,false,44868,
11/07/2018 11:30:00 AM,11/07/2018 11:45:00 AM,Brooklyn,Prospect Park,Ravine,,40.660364,-73.965359,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,1-1-1641417962,ACC,1,false,false,,,false,false,46681,
11/07/2018 09:00:00 AM,11/07/2018 09:10:00 AM,Brooklyn,Prospect Park,Boathouse,,40.660364,-73.965359,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1636492910,ACC,1,false,false,,,false,false,46658,
10/26/2018 01:30:00 PM,10/26/2018 02:35:00 AM,Brooklyn,Prospect Park,East Arch,,40.662252,-73.965346,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.75,Juvenile,Small Mammals-RVS,1-1-1636492030,ACC,1,false,false,,,false,false,45609,
11/18/2018 04:00:00 PM,11/18/2018 04:15:00 PM,Brooklyn,Prospect Park,Outside of the Eastwood Building front door,,40.6617498,-73.9652335,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1641418800,ACC,1,false,false,,,false,false,47599,
10/29/2018 11:00:00 AM,10/29/2018 12:00:00 PM,Brooklyn,Prospect Park,Breeze Hill,,40.659636,-73.965214,latlng_provided,Raccoon,Employee,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1631200931,ACC,1,false,false,,,false,false,45903,
11/21/2018 02:15:00 PM,11/21/2018 02:30:00 PM,Brooklyn,Prospect Park,South of Duck Island between East Drive and Parkside Avenue ,,40.6542578,-73.9640731,latlng_provided,Raccoon,Employee,Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
11/19/2018 11:30:00 AM,11/19/2018 12:00:00 PM,Brooklyn,Prospect Park,LeFrak Center at Lakeside,,40.6568144,-73.963947,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,ACC,1,false,false,,,false,false,47652,
11/19/2018 12:00:00 AM,11/19/2018 12:00:00 AM,Brooklyn,Prospect Park,LeFrak Center at Lakeside,,40.6567137,-73.9639433,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,ACC,1,false,false,,,false,false,47653,
10/24/2018 11:00:00 AM,10/24/2018 12:30:00 PM,Brooklyn,Prospect Park,Concert Grove,,40.658969,-73.963934,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Small Mammals-RVS,1-1-1632704640,ACC,1,false,false,,,false,false,45405,
12/04/2018 10:30:00 AM,12/04/2018 11:00:00 AM,Brooklyn,Prospect Park,Ocean Avenue and Lincoln Road,,40.661746,-73.96326,latlng_provided,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1653352000,ACC,1,false,false,,,false,false,48727,
11/09/2018 01:06:00 PM,11/09/2018 01:08:00 PM,Brooklyn,Prospect Park,,,40.660216,-73.96231,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1641416302,ACC,1,false,false,,,false,false,46864,
03/19/2019 11:00:00 AM,03/19/2019 11:30:00 AM,Manhattan,Central Park,North Meadow Ballfield 3,,40.791966,-73.961353,latlng_provided,Raccoon,Central,Native,N/A,0.5,Adult,Small Mammals-RVS,1-1-1696398502,Unfounded,1,false,false,,,false,false,,
03/07/2019 10:00:00 AM,03/07/2019 10:10:00 AM,Manhattan,Central Park,North Meadow; CPC equipment lot,,40.7912072,-73.9601132,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,,
06/04/2019 12:30:00 PM,06/04/2019 12:45:00 AM,Manhattan,Central Park,North Meadow Ballfield 4,,40.792282,-73.959797,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult,Small Mammals-RVS,1-1-1729907440,ACC,1,false,false,,,false,false,64890,
03/01/2019 04:40:00 PM,03/01/2019 04:45:00 PM,Manhattan,Central Park,E96th North Meadow; paper recycling bin,,40.7910206,-73.9594221,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
03/12/2019 12:00:00 PM,03/12/2019 12:30:00 PM,Manhattan,Central Park,between E 92nd & 93rd  & 5th Ave,,40.78575,-73.957583,latlng_provided,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult,Small Mammals-RVS,1-1-1690353720,ACC,1,false,false,,,false,false,56886,
10/23/2018 02:30:00 PM,10/23/2018 03:00:00 PM,Manhattan,Morningside Park,Behind Basketball Courts at 118th St. and Mornigside Ave,,40.807433,-73.957545,latlng_provided,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1631789660,ACC,1,false,false,,,false,false,45353,
